distance,elevation,terrain,dangerous,risk
147,100,rocky,1,237
148,0,dirt,1,208
126,850,dirt,0,140
134,1550,sand,0,171
64,1150,paved,1,119
36,1900,sand,1,125
108,900,sand,1,192
45,950,sand,0,79
117,750,rocky,1,210
12,1850,paved,0,21
35,600,sand,1,118
198,750,sand,1,281
112,1500,paved,1,169
129,500,dirt,1,191
62,100,paved,1,112
78,1900,paved,0,87
39,1200,sand,0,75
29,300,rocky,0,70
49,1100,rocky,1,144
115,750,sand,0,148
159,1650,dirt,0,177
69,1450,sand,0,106
170,550,dirt,1,232
198,1100,sand,1,283
58,0,paved,1,108
82,750,paved,1,135
115,1250,dirt,1,181
127,750,sand,1,210
155,1550,paved,0,162
126,1450,rocky,0,173
108,1700,sand,1,196
126,500,rocky,0,168
107,100,paved,1,157
138,200,paved,1,189
24,450,paved,1,76
125,400,rocky,1,217
199,1600,rocky,1,297
186,800,rocky,1,280
85,1650,dirt,0,103
83,1950,paved,0,92
165,1850,rocky,0,214
30,900,rocky,0,74
184,900,paved,0,188
153,1750,paved,1,211
42,1500,dirt,1,109
153,1250,dirt,1,219
47,250,dirt,1,108
54,300,sand,1,135
191,1650,rocky,1,289
171,1750,dirt,1,239
153,1150,paved,0,158
54,1350,rocky,1,150
167,600,paved,1,220
23,150,sand,1,103
93,1450,rocky,0,140
161,900,rocky,1,255
130,1550,sand,1,217
114,2000,sand,1,204
186,850,rocky,1,280
123,1850,rocky,0,172
177,1700,sand,1,265
44,1900,rocky,0,93
153,950,paved,1,207
167,1000,paved,1,222
157,1150,sand,0,192
62,500,sand,0,94
143,150,dirt,0,153
108,600,rocky,0,151
101,600,sand,0,134
134,1800,sand,0,173
169,1850,paved,0,178
145,1150,rocky,1,240
154,2000,dirt,0,174
31,1900,sand,0,70
8,1700,sand,0,46
102,1400,sand,0,139
38,1400,rocky,1,135
185,1400,dirt,1,252
109,1050,rocky,1,204
50,300,rocky,0,91
11,550,dirt,1,73
93,1750,rocky,0,141
155,150,dirt,1,215
58,150,dirt,0,68
163,1800,sand,0,202
78,100,rocky,1,168
20,1100,dirt,1,85
42,500,rocky,1,134
199,1050,paved,0,204
46,1850,rocky,0,95
132,1250,paved,1,188
31,750,paved,1,84
185,2000,sand,1,275
137,300,sand,1,218
156,750,sand,0,189
171,500,rocky,0,213
25,1600,rocky,0,73
148,1250,dirt,1,214
91,200,dirt,0,102
20,1250,paved,0,26
168,1350,sand,0,204
187,150,sand,1,267
161,1500,dirt,0,178
53,400,sand,0,85
64,750,rocky,1,157
142,50,dirt,0,152
32,50,paved,0,32
32,1200,paved,0,38
170,1350,dirt,1,236
13,1750,dirt,0,31
180,1200,rocky,1,276
86,550,paved,1,138
161,1450,rocky,1,258
171,200,dirt,1,232
65,550,paved,1,117
4,450,sand,0,36
135,950,dirt,0,149
138,350,sand,1,219
1,1800,sand,1,90
131,450,paved,0,133
156,150,dirt,0,166
55,450,sand,1,137
39,50,sand,0,69
123,950,rocky,1,217
45,2000,dirt,0,65
104,1900,dirt,1,173
169,550,sand,1,251
40,100,rocky,1,130
43,1500,sand,0,80
127,1650,sand,1,215
39,1000,sand,0,74
15,1450,paved,1,72
136,1650,paved,1,194
157,250,paved,0,158
9,0,sand,1,89
57,1500,paved,0,64
18,1150,rocky,1,113
80,550,dirt,1,142
140,1700,dirt,0,158
185,450,rocky,0,227
132,1900,rocky,1,231
